OpponentTeam,TheirOpponent,Date,GF,GA,Venue/Div,SourceURL,Notes
BSA Celtic 18B United,Springfield Thunder SC Navy B2017,"Fri, Aug 29 6:30 PM",,,MVYSA Fall 2025,https://www.mvysa.com/cgi-bin/sked.cgi?fnc=sked2&bt=4264&season=202509,Eagle City Soccer Complex # 1a
BSA Celtic 18B United,Troy Rattlers B17/18,"Thu, Sep 4 6:30 PM",1,1,MVYSA Fall 2025,https://www.mvysa.com/cgi-bin/sked.cgi?fnc=sked2&bt=4264&season=202509,Ankeney Complex #31
BSA Celtic 18B United,BSA Celtic 18B City,"Sat, Sep 6 10:50 AM",2,4,MVYSA Fall 2025,https://www.mvysa.com/cgi-bin/sked.cgi?fnc=sked2&bt=4264&season=202509,Ankeney Complex #31
BSA Celtic 18B United,Warrior White B17/18,"Fri, Sep 12 6:30 PM",7,2,MVYSA Fall 2025,https://www.mvysa.com/cgi-bin/sked.cgi?fnc=sked2&bt=4264&season=202509,Ankeney Complex #27
BSA Celtic 18B United,Southstars SC B17,"Thu, Sep 25 6:30 PM",2,4,MVYSA Fall 2025,https://www.mvysa.com/cgi-bin/sked.cgi?fnc=sked2&bt=4264&season=202509,Ankeney Complex #31
BSA Celtic 18B United,Warrior White B17/18,"Sun, Sep 28 1:00 PM",1,1,MVYSA Fall 2025,https://www.mvysa.com/cgi-bin/sked.cgi?fnc=sked2&bt=4264&season=202509,Warrior Complex # 4
BSA Celtic 18B United,Southstars SC B17,"Sun, Oct 5 4:40 PM",0,6,MVYSA Fall 2025,https://www.mvysa.com/cgi-bin/sked.cgi?fnc=sked2&bt=4264&season=202509,Miamisburg Soccer Association # 2
BSA Celtic 18B United,BSA Celtic 18B City,"Thu, Oct 9 6:00 PM",1,1,MVYSA Fall 2025,https://www.mvysa.com/cgi-bin/sked.cgi?fnc=sked2&bt=4264&season=202509,Ankeney Complex #29
BSA Celtic 18B City,Warrior White B17/18,"Wed, Sep 3 6:30 PM",,,MVYSA Fall 2025,https://www.mvysa.com/cgi-bin/sked.cgi?fnc=sked2&bt=4263&season=202509,Ankeney Complex #29
BSA Celtic 18B City,BSA Celtic 18B United,"Sat, Sep 6 10:50 AM",4,2,MVYSA Fall 2025,https://www.mvysa.com/cgi-bin/sked.cgi?fnc=sked2&bt=4263&season=202509,Ankeney Complex #31
BSA Celtic 18B City,Southstars SC B17,"Thu, Sep 11 6:30 PM",1,8,MVYSA Fall 2025,https://www.mvysa.com/cgi-bin/sked.cgi?fnc=sked2&bt=4263&season=202509,Ankeney Complex #31
BSA Celtic 18B City,Springfield Thunder SC Navy B2017,"Thu, Sep 18 6:30 PM",1,9,MVYSA Fall 2025,https://www.mvysa.com/cgi-bin/sked.cgi?fnc=sked2&bt=4263&season=202509,Ankeney Complex #31
BSA Celtic 18B City,Troy Rattlers B17/18,"Fri, Sep 26 6:30 PM",3,6,MVYSA Fall 2025,https://www.mvysa.com/cgi-bin/sked.cgi?fnc=sked2&bt=4263&season=202509,Duke Park # 1A
BSA Celtic 18B City,Warrior White B17/18,"Thu, Oct 2 6:15 PM",4,3,MVYSA Fall 2025,https://www.mvysa.com/cgi-bin/sked.cgi?fnc=sked2&bt=4263&season=202509,Warrior Complex # 4
BSA Celtic 18B City,BSA Celtic 18B United,"Thu, Oct 9 6:00 PM",1,1,MVYSA Fall 2025,https://www.mvysa.com/cgi-bin/sked.cgi?fnc=sked2&bt=4263&season=202509,Ankeney Complex #29
BSA Celtic 18B City,Springfield Thunder SC Navy B2017,"Thu, Oct 16 6:00 PM",1,7,MVYSA Fall 2025,https://www.mvysa.com/cgi-bin/sked.cgi?fnc=sked2&bt=4263&season=202509,Eagle City Soccer Complex # 1a
