Opponent,GP,W,D,L,Record,GF,GA,GD,Pts,PPG
Elite FC Elite FC 2018 Boys Arsenal,1,1,0,0,1-0-0,4,2,2,3,3.0
LFC United LFC United 2018 B Elite 2,1,1,0,0,1-0-0,11,0,11,3,3.0
BSA Celtic 18B United,1,1,0,0,1-0-0,2,0,2,3,3.0
Barcelona United Barcelona United Elite II 18B,1,1,0,0,1-0-0,7,2,5,3,3.0
Columbus United Columbus United U8B,2,1,1,0,1-1-0,9,8,1,4,2.0
Elite FC Elite FC 2018 Boys Tottenham,1,0,1,0,0-1-0,4,4,0,1,1.0
Grove City Kids Association GCKA 2018B,1,0,1,0,0-1-0,2,2,0,1,1.0
Ohio Premier 2017 Boys Academy Dublin White,1,0,0,1,0-0-1,0,13,-13,0,0.0
Ohio Premier 2017 Boys Premier OCL,1,0,0,1,0-0-1,3,15,-12,0,0.0
Blast FC Soccer Academy Blast FC 2018B,1,0,0,1,0-0-1,4,5,-1,0,0.0
Elite FC Elite FC 2018 Boys Liverpool,1,0,0,1,0-0-1,5,6,-1,0,0.0
Northwest FC Northwest FC 2018B Academy Blue,1,0,0,1,0-0-1,1,4,-3,0,0.0
Club Ohio West 18B Academy,1,0,0,1,0-0-1,0,7,-7,0,0.0
BSA Celtic 18B City,1,0,0,1,0-0-1,1,2,-1,0,0.0
