Date,Tournament,Location,Opponent,GF,GA,YourTeam,Outcome,Points,GoalDiff,Strength,WeightedPoints,WeightedGD_Auto
8/9/2025,Dublin Charity Cup,Shelly Park,Ohio Premier 2017 Boys Premier OCL,3,15,Dublin DSX Orange 2018 Boys,L,0,-12,85.0,0.0,-20.4
8/16/2025,Dublin Charity Cup,Blast FC,Blast FC Soccer Academy Blast FC 2018B,4,5,Dublin DSX Orange 2018 Boys,L,0,-1,85.0,0.0,-1.7
8/30/2025,Obetz Futbol Cup,Darree Fields,Elite FC Elite FC 2018 Boys Liverpool,5,6,Dublin DSX Orange 2018 Boys,L,0,-1,78.5,0.0,-1.57
8/30/2025,Obetz Futbol Cup,Darree Fields,Ohio Premier 2017 Boys Academy Dublin White,0,13,Dublin DSX Orange 2018 Boys,L,0,-13,85.0,0.0,-22.1
8/31/2025,Obetz Futbol Cup,Darree Fields,Elite FC Elite FC 2018 Boys Arsenal,4,2,Dublin DSX Orange 2018 Boys,W,3,2,85.0,5.1,3.4
9/5/2025,Murfin Friendly Series,Murfin Field,LFC United LFC United 2018 B Elite 2,11,0,Dublin DSX Orange 2018 Boys,W,3,11,27.3,1.64,6.01
9/6/2025,Murfin Friendly Series,Murfin Field,Elite FC Elite FC 2018 Boys Tottenham,4,4,Dublin DSX Orange 2018 Boys,D,1,0,38.3,0.77,0.0
9/7/2025,Murfin Friendly Series,Murfin Field,Northwest FC Northwest FC 2018B Academy Blue,1,4,Dublin DSX Orange 2018 Boys,L,0,-3,55.1,0.0,-3.31
9/27/2025,Grove City Fall Classic,Memorial Park,Barcelona United Barcelona United Elite II 18B,7,2,Dublin DSX Orange 2018 Boys,W,3,5,21.7,1.3,2.17
9/27/2025,Grove City Fall Classic,Memorial Park,Columbus United Columbus United U8B,5,5,Dublin DSX Orange 2018 Boys,D,1,0,85.0,1.7,0.0
9/28/2025,Grove City Fall Classic,Memorial Park,Grove City Kids Association GCKA 2018B,2,2,Dublin DSX Orange 2018 Boys,D,1,0,45.2,0.9,0.0
9/28/2025,Grove City Fall Classic,Memorial Park,Columbus United Columbus United U8B,4,3,Dublin DSX Orange 2018 Boys,W,3,1,85.0,5.1,1.7
10/18/2025,2025 Haunted Classic,John Ankeney Soccer Complex,BSA Celtic 18B United,2,0,Dublin DSX Orange 2018 Boys,W,3,2,32.5,9.75,6.5
10/18/2025,2025 Haunted Classic,John Ankeney Soccer Complex,Club Ohio West 18B Academy,0,7,Dublin DSX Orange 2018 Boys,L,0,-7,63.0,0.0,-11.1
10/19/2025,2025 Haunted Classic,John Ankeney Soccer Complex,BSA Celtic 18B City,1,2,Dublin DSX Orange 2018 Boys,L,0,-1,48.4,0.0,-2.1
11/1/2025,2025 Club Ohio Fall Classic,Civic Park (Club Ohio Tournaments),Sporting Columbus Sporting Columbus Boys 2018 I,2,7,Dublin DSX Orange 2018 Boys,L,0,-5,63.0,0.0,-8.5
11/1/2025,2025 Club Ohio Fall Classic,Civic Park (Club Ohio Tournaments),Worthington United Worthington United 94 2018 Boys White,5,3,Dublin DSX Orange 2018 Boys,W,3,2,8.1,2.43,3.4
11/2/2025,2025 Club Ohio Fall Classic,Spindler Park (Club Ohio Tournaments),Club Ohio Club Ohio West 18B Academy II,3,2,Dublin DSX Orange 2018 Boys,W,3,1,68.8,2.07,1.7
11/2/2025,2025 Club Ohio Fall Classic,Championship Field (Club Ohio Tournaments),Sporting Columbus Sporting Columbus Boys 2018 I,1,2,Dublin DSX Orange 2018 Boys,L,0,-1,63.0,0.0,-1.0
