search_name,found,division,group_id,actual_team_name,url,match_type
Blast FC Soccer Academy Blast FC 2018B,True,OCL BU08 Stripes,418528,Blast FC Soccer Academy Blast FC 2018B,https://system.gotsport.com/org_event/events/45535/results?group=418528,exact
Club Ohio Club Ohio West 18B Academy II,True,OCL BU08 Stripes,418528,Club Ohio Club Ohio West 18B Academy II,https://system.gotsport.com/org_event/events/45535/results?group=418528,partial
Club Oranje Club Oranje Raptors 2018 BU08 Navy,True,OCL BU08 Stripes,418528,Polaris Soccer Club Polaris SC 18B Navy,https://system.gotsport.com/org_event/events/45535/results?group=418528,partial
Columbus Force SC CE 2018B Net Ninjas,True,OCL BU08 Stripes,418528,Columbus Force SC CE 2018B Net Ninjas,https://system.gotsport.com/org_event/events/45535/results?group=418528,exact
Dublin United Soccer Club DUSC Sharks 2018 Boys,True,OCL BU08 Stripes,418528,Dublin United Soccer Club DUSC Sharks 2018 Boys,https://system.gotsport.com/org_event/events/45535/results?group=418528,exact
Elite FC Elite FC 2018 Boys Liverpool,True,OCL BU08 Stripes,418528,Elite FC Elite FC 2018 Boys Liverpool,https://system.gotsport.com/org_event/events/45535/results?group=418528,partial
Elite FC Elite FC 2018 Boys Tottenham,True,OCL BU08 Stripes,418528,Elite FC Elite FC 2018 Boys Tottenham,https://system.gotsport.com/org_event/events/45535/results?group=418528,partial
Johnstown FC Johnstown FC 2018 Boys,True,OCL BU08 Stripes,418528,Johnstown FC Johnstown FC 2018 Boys,https://system.gotsport.com/org_event/events/45535/results?group=418528,exact
LFC United LFC United 2018 B Elite,True,OCL BU08 Stripes,418528,LFC United LFC United 2018 B Elite,https://system.gotsport.com/org_event/events/45535/results?group=418528,partial
LFC United LFC United 2018 B Elite 2,True,OCL BU08 Stripes,418528,LFC United LFC United 2018 B Elite,https://system.gotsport.com/org_event/events/45535/results?group=418528,partial
Lancaster Select Soccer Association (LSSA) LSSA 2018 Boys,True,OCL BU08 Stripes,418528,Lancaster Select Soccer Association (LSSA) LSSA 2018 Boys,https://system.gotsport.com/org_event/events/45535/results?group=418528,exact
NASA Xtabi NASA Xtabi 2018 Boys,True,OCL BU08 Stripes,418528,NASA Xtabi NASA Xtabi 2018 Boys,https://system.gotsport.com/org_event/events/45535/results?group=418528,exact
Northwest FC Northwest FC 2018B Academy Blue,True,OCL BU08 Stripes,418528,Northwest FC Northwest FC 2018B Academy Blue,https://system.gotsport.com/org_event/events/45535/results?group=418528,exact
Pataskala Futbol Club Extreme (PFC Extreme) PFC Extreme U8B Black,True,OCL BU08 Stripes,418528,Pataskala Futbol Club Extreme (PFC Extreme) PFC Extreme U8B Black,https://system.gotsport.com/org_event/events/45535/results?group=418528,exact
Polaris Soccer Club Polaris SC 18B Navy,True,OCL BU08 Stripes,418528,Polaris Soccer Club Polaris SC 18B Navy,https://system.gotsport.com/org_event/events/45535/results?group=418528,partial
Pride Soccer Club Pride SC 2019/2018 Boys Copa,True,OCL BU08 Stripes,418528,Pride Soccer Club Pride SC 2019/2018 Boys Copa,https://system.gotsport.com/org_event/events/45535/results?group=418528,partial
Sporting Columbus Sporting Columbus Boys 2018 II,True,OCL BU08 Stripes,418528,Sporting Columbus Sporting Columbus Boys 2018 II,https://system.gotsport.com/org_event/events/45535/results?group=418528,partial
Upper Arlington United UAU 2018 BU U8 BLACK,True,OCL BU08 Stripes,418528,Upper Arlington United UAU 2018 BU U8 BLACK,https://system.gotsport.com/org_event/events/45535/results?group=418528,partial
Worthington United WSP Hawkeyes Blue SC 2018 Boys,True,OCL BU08 Stripes,418528,Worthington United WSP Hawkeyes Blue SC 2018 Boys,https://system.gotsport.com/org_event/events/45535/results?group=418528,exact
Zanesville Arsenal SC Zanesville Arsenal SC 2018B,True,OCL BU08 Stripes,418528,Zanesville Arsenal SC Zanesville Arsenal SC 2018B,https://system.gotsport.com/org_event/events/45535/results?group=418528,exact
