Team,Source,Date_Added
Blast FC Soccer Academy Blast FC 2018B,Opponent of Opponent,2025-10-31
Club Ohio Club Ohio West 18B Academy II,Opponent of Opponent,2025-10-31
Club Oranje Club Oranje Raptors 2018 BU08 Navy,Opponent of Opponent,2025-10-31
Columbus Force SC CE 2018B Net Ninjas,Opponent of Opponent,2025-10-31
Dublin United Soccer Club DUSC Sharks 2018 Boys,Opponent of Opponent,2025-10-31
Elite FC Elite FC 2018 Boys Arsenal,Opponent of Opponent,2025-10-31
Elite FC Elite FC 2018 Boys Liverpool,Opponent of Opponent,2025-10-31
Elite FC Elite FC 2018 Boys Tottenham,Opponent of Opponent,2025-10-31
Johnstown FC Johnstown FC 2018 Boys,Opponent of Opponent,2025-10-31
LFC United LFC United 2018 B Elite,Opponent of Opponent,2025-10-31
LFC United LFC United 2018 B Elite 2,Opponent of Opponent,2025-10-31
Lancaster Select Soccer Association (LSSA) LSSA 2018 Boys,Opponent of Opponent,2025-10-31
NASA Xtabi NASA Xtabi 2018 Boys,Opponent of Opponent,2025-10-31
Northwest FC Northwest FC 2018B Academy Blue,Opponent of Opponent,2025-10-31
Pataskala Futbol Club Extreme (PFC Extreme) PFC Extreme U8B Black,Opponent of Opponent,2025-10-31
Polaris Soccer Club Polaris SC 18B Navy,Opponent of Opponent,2025-10-31
Pride Soccer Club Pride SC 2019/2018 Boys Copa,Opponent of Opponent,2025-10-31
Sporting Columbus Sporting Columbus Boys 2018 II,Opponent of Opponent,2025-10-31
Upper Arlington United UAU 2018 BU U8 BLACK,Opponent of Opponent,2025-10-31
Worthington United WSP Hawkeyes Blue SC 2018 Boys,Opponent of Opponent,2025-10-31
Zanesville Arsenal SC Zanesville Arsenal SC 2018B,Opponent of Opponent,2025-10-31
